UTP,Cidade Sede,UF,Impacto direto,Impacto direto e indireto,"Impacto direto, indireto e induzido"
213,Matozinhos,MG,0.002,0.003,0.003
738,Três Marias,MG,0.002,0.003,0.004
77,Carolina,MA,0.003,0.003,0.003
534,Iguatemi,MS,0.002,0.003,0.003
605,Nioaque,MS,0.003,0.003,0.004
706,São Joaquim,SC,0.002,0.003,0.004
294,Santa Fé do Sul,SP,0.003,0.003,0.004
691,Santiago,RS,0.002,0.003,0.003
644,Piritiba,BA,0.003,0.003,0.004
115,Getúlio Vargas,RS,0.002,0.003,0.004
307,São Geraldo do Araguaia,PA,0.002,0.003,0.003
309,São João Del Rei,MG,0.002,0.003,0.003
313,São Lourenço,MG,0.002,0.003,0.003
460,Castro,PR,0.003,0.003,0.004
258,Pirapozinho,SP,0.003,0.003,0.003
579,Maraã,AM,0.002,0.003,0.003
447,Canavieiras,BA,0.002,0.003,0.003
610,Nova Olinda do Norte,AM,0.003,0.003,0.003
234,Paranaguá,PR,0.002,0.003,0.004
654,Posse,GO,0.003,0.003,0.003
132,Assis Brasil,AC,0.002,0.003,0.004
711,São Luiz Gonzaga,RS,0.002,0.003,0.004
214,Maurilândia,GO,0.001,0.002,0.002
271,Pouso Alto,MG,0.002,0.002,0.003
44,São João Nepomuceno,MG,0.001,0.002,0.003
327,Sombrio,SC,0.002,0.002,0.003
215,Mendes,RJ,0.001,0.002,0.002
584,Mateiros,TO,0.002,0.002,0.002
633,Paulistana,PI,0.001,0.002,0.002
366,Abaré,BA,0.002,0.002,0.002
634,Pedra Azul,MG,0.001,0.002,0.002
606,Niquelândia,GO,0.002,0.002,0.002
588,Minaçu,GO,0.002,0.002,0.003
306,São Gabriel,RS,0.001,0.002,0.002
630,Paranatinga,MT,0.002,0.002,0.003
11,Alvorada do Norte,GO,0.002,0.002,0.002
745,Urbano Santos,MA,0.002,0.002,0.002
30,Nortelândia,MT,0.002,0.002,0.002
236,Paraopeba,MG,0.002,0.002,0.003
233,Paranacity,PR,0.002,0.002,0.002
223,Nhamundá,AM,0.001,0.002,0.002
257,Pirapora,MG,0.002,0.002,0.002
322,Serranos,MG,0.001,0.002,0.003
783,Buritis,MG,0.002,0.002,0.002
